Key,English,Indonesian
CLIENT_FAQ_INC_000000,How can I be resurrected?,Bagaimana saya bisa dibangkitkan?
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.","Anda dapat dihidupkan kembali di kota terdekat dengan memilih 'Lodestar' di jendela revive. Jika Anda memiliki 'Scroll of Resurrection' atau resurrection skill dilemparkan pada Anda, Anda dapat hidup kembali secara instan di tempat Anda mati."
CLIENT_FAQ_INC_000002,Where are the monsters?,Di mana monster-monster itu?
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,Mereka berada di ladang. Pastikan untuk melawan hanya mereka yang bisa Anda tangani.
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,Bagaimana cara menetapkan target dan membatalkan pilihannya?
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.","Klik dua kali target dengan mouse Anda untuk menyerangnya, klik sekali saja untuk menargetkannya, dan klik ESC untuk membatalkan pilihannya."
CLIENT_FAQ_INC_000006,How can I attack continuously?,Bagaimana saya bisa menyerang terus menerus?
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,Pastikan pengaturan Auto Attack dicentang di Option Window.
CLIENT_FAQ_INC_000008,How do you use the skills?,Bagaimana cara menggunakan keterampilan?
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,Tekan K untuk menu Skills dan seret skill icons yang ingin kamu gunakan ke dalam action slot di sisi kanan bawah layarmu.
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,Bagaimana cara menggunakan keterampilan secara terus menerus?
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,Tempatkan keterampilan di slot aksi dan tekan C saat menargetkan sesuatu untuk menggunakan keterampilan tersebut. Gerakan yang berbentuk seperti potongan puzzle perlu ditempatkan bersama.
CLIENT_FAQ_INC_000012,How do I gain my health back?,Bagaimana cara mendapatkan health saya kembali?
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,Makanan dan barang-barang tertentu lainnya akan memulihkan kesehatan Anda ketika Anda mengklik dua kali. Jumlah HP yang dipulihkan setiap item dicatat dalam deskripsi item.
CLIENT_FAQ_INC_000014,How do I get a Job?,Bagaimana cara mendapatkan Job?
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","Saat kamu mencapai level 15, bicaralah dengan Julia di Flarine untuk mendapatkan quest transfer pekerjaanmu. The Mercenary dan Assist quest dimulai di Flaris, Magician quest dimulai di Saint Morning, dan Acrobat quest dimulai di Darken."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,Kenapa saya tidak mendapatkan experience lagi di level 15.
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","Ketika kamu mencapai level 15 dan kamu tidak bisa mendapatkan Exp lagi, kamu harus menyelesaikan 1st job transfer quest untuk mendapatkan Exp lagi. Pergi menemui job trainer dan selesaikan quest untuk job yang kamu inginkan ketika kamu mencapai level 15."
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","Jika kamu tidak dapat memperoleh skill, periksa level karaktermu dan skill sebelumnya untuk memastikan kamu telah memenuhi persyaratan untuk skill itu."
CLIENT_FAQ_INC_000020,How do I fly?,Bagaimana cara aku terbang?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,Ketika kamu mencapai level 20 kamu bisa membeli board atau broomstick dari pemain atau NPC. Untuk memakainya cukup double click pada item tersebut dan kamu bisa terbang.
CLIENT_FAQ_INC_000022,How do I move the camera.,Bagaimana cara menggerakkan kamera.
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,Ada dua cara utama untuk menggerakkan kamera. Versi Lama: Tekan dan tahan mouse wheel. Kemudian gerakkan mouse ke sekeliling. Versi Baru: Tekan dan tahan tombol kanan mouse. Kemudian gerakkan mouse ke sekeliling. Gunakan mouse wheel untuk memperbesar atau memperkecil dan memutar kameramu.
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,Bagaimana cara kembali ke posisi kamera default saya?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,Versi Lama: Klik dua kali mouse wheel. Versi Baru: Klik dua kali tombol kanan mouse.
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.","Saat terbang, kamera akan sulit untuk digerakkan."
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys","Saat terbang, klik dua kali pada tombol kanan mouse atau gunakan tombol panah"
CLIENT_FAQ_INC_000028,How can I use Emoticons?,Bagaimana saya bisa menggunakan Emoticon?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,Klik 'F9' untuk beristirahat dan klik 'F9' lagi untuk berdiri. Kamu juga dapat menekan 'O' dan memilih sit emotion dan menyeretnya ke bar.
CLIENT_FAQ_INC_000030,How do you trade with other characters?,Bagaimana cara trade dengan karakter lain?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","Klik kiri pada karakter sambil menahan Alt dan pilih menu Trade. Menggunakan item serta drop item, bersamaan dengan NPC shops, tidak dapat dilakukan selama trading berjalan."
CLIENT_FAQ_INC_000032,Where can I get a quest?,Di mana saya bisa mendapatkan quest?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,"Jika kamu ingin mencari tahu tentang cara mengambil sebuah quest, kamu dapat melakukannya dengan cara berbicara kepada NPC."
CLIENT_FAQ_INC_000034,What is a duel?,Apa itu duel?
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.","Ini berarti duel antara pemain, atau PvP (Player Vs Player) dengan persetujuan bersama. Tidak ada penalti untuk duel."
CLIENT_FAQ_INC_000036,How can I become famous?,Bagaimana saya bisa menjadi terkenal?
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,"Semakin banyak kamu memenangkan turnamen, maka kamu akan semakin terkenal. Jika kamu memiliki level tinggi, orang akan mengenali dirimu dimana pun kamu berada."
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,Mengapa beberapa nama pemain berwarna merah? Bisakah saya menyerang semua orang?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.","PK dan Karma meningkat saat kamu membunuh pemain lain. Karaktermu akan dihukum saat PK dan Karma meningkat. Nama karakter PK ditampilkan dengan warna merah. Tingkat PK kamu dapat ditebus dengan menyelesaikan Confession quest, dan Karmamu akan menurun ketika kamu membunuh monster dan / atau terbunuh."
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?","Jika saya menemukan bug, apa yang dapat saya lakukan?"
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,"Ketika kamu menemukan bug, beri tahu kami dengan memposting bug di forum kami di $WEBSITE$"
CLIENT_FAQ_INC_000042,What is a guild?,Apa itu guild?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","Guild adalah komunitas yang jauh lebih besar dari sebuah Party. Banyak fungsi yang tersedia saat level guild kamu meningkat seperti Guild Bank, Guild Cloak, dan 1 on 1 Guild Battle."
CLIENT_FAQ_INC_000044,Where can we form a guild?,Di mana kita bisa membentuk guild?
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.","Untuk membuat Guild, level karaktermu harus 40 atau lebih tinggi. Setelah kamu berada di level 40, bicaralah dengan NPC Helena di Saint Morning dan selesaikan guild quest yang dia berikan padamu."
CLIENT_FAQ_INC_000046,How about a Party?,Bagaimana dengan Party?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,Kamu dapat membentuk party untuk bergabung bersama dengan pemain lain.
CLIENT_FAQ_INC_000048,How to invite other players?,Bagaimana cara invite pemain lain?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,Klik pada pemain lain dan pilih invite untuk bergabung dengan party.
